id,neighbourhood_group
36442252,Bronx
36435986,Bronx
36429652,Bronx
36428186,Bronx
36426093,Bronx
36379669,Bronx
36351030,Bronx
36350871,Bronx
36350749,Bronx
36350612,Bronx
36350460,Bronx
36350210,Bronx
36350007,Bronx
36283398,Bronx
36243240,Bronx
36243183,Bronx
36243129,Bronx
36243050,Bronx
36229225,Bronx
36206788,Bronx
36199363,Bronx
36199090,Bronx
36177241,Bronx
36145564,Bronx
36115183,Bronx
36109691,Bronx
36108811,Bronx
36085870,Bronx
36080023,Bronx
36071960,Bronx
36068351,Bronx
36041232,Bronx
36040561,Bronx
36037506,Bronx
36001548,Bronx
35996222,Bronx
35978071,Bronx
35943602,Bronx
35916310,Bronx
35900132,Bronx
35891506,Bronx
35881347,Bronx
35877927,Bronx
35877681,Bronx
35877559,Bronx
35866719,Bronx
35856471,Bronx
35847646,Bronx
35804587,Bronx
35800600,Bronx
35737107,Bronx
35717460,Bronx
35678273,Bronx
35672353,Bronx
35654798,Bronx
35648435,Bronx
35614888,Bronx
35614155,Bronx
35603512,Bronx
35601334,Bronx
35597348,Bronx
35584546,Bronx
35577642,Bronx
35566162,Bronx
35546298,Bronx
35524274,Bronx
35499352,Bronx
35496842,Bronx
35487203,Bronx
35483321,Bronx
35466744,Bronx
35464959,Bronx
35457664,Bronx
35457028,Bronx
35456139,Bronx
35454551,Bronx
35428298,Bronx
35409062,Bronx
35384842,Bronx
35368749,Bronx
35321064,Bronx
35315368,Bronx
35265039,Bronx
35263825,Bronx
35249458,Bronx
35238986,Bronx
35237543,Bronx
35232958,Bronx
35217588,Bronx
35186244,Bronx
35182672,Bronx
35170961,Bronx
35170169,Bronx
35169758,Bronx
35165581,Bronx
35131221,Bronx
35092409,Bronx
35069663,Bronx
35062211,Bronx
35058541,Bronx
35035202,Bronx
35033674,Bronx
35010066,Bronx
35003048,Bronx
34941506,Bronx
34941499,Bronx
34941479,Bronx
34940796,Bronx
34931431,Bronx
34903861,Bronx
34868325,Bronx
34860549,Bronx
34851748,Bronx
34848236,Bronx
34822061,Bronx
34791645,Bronx
34782691,Bronx
34781680,Bronx
34756976,Bronx
34753453,Bronx
34749210,Bronx
34723211,Bronx
34721719,Bronx
34718633,Bronx
34718463,Bronx
34717211,Bronx
34715931,Bronx
34681488,Bronx
34659522,Bronx
34654078,Bronx
34645572,Bronx
34644152,Bronx
34643695,Bronx
34629887,Bronx
34592997,Bronx
34568807,Bronx
34560998,Bronx
34547780,Bronx
34544304,Bronx
34530998,Bronx
34513343,Bronx
34498925,Bronx
34446898,Bronx
34444744,Bronx
34444336,Bronx
34433240,Bronx
34422726,Bronx
34420574,Bronx
34415817,Bronx
34399984,Bronx
34392044,Bronx
34369607,Bronx
34343028,Bronx
34334035,Bronx
34313928,Bronx
34284597,Bronx
34259388,Bronx
34259050,Bronx
34231746,Bronx
34229869,Bronx
34180340,Bronx
34157717,Bronx
34142214,Bronx
34061095,Bronx
34045372,Bronx
34016163,Bronx
33995764,Bronx
33995462,Bronx
33987446,Bronx
33966122,Bronx
33963211,Bronx
33945670,Bronx
33933477,Bronx
33907325,Bronx
33884349,Bronx
33854406,Bronx
33853642,Bronx
33803252,Bronx
33802074,Bronx
33788019,Bronx
33787433,Bronx
33765725,Bronx
33746153,Bronx
33718254,Bronx
33691283,Bronx
33661568,Bronx
33659082,Bronx
33653735,Bronx
33613736,Bronx
33603476,Bronx
33588933,Bronx
33571691,Bronx
33560762,Bronx
33533803,Bronx
33528562,Bronx
33505762,Bronx
33491517,Bronx
33491210,Bronx
33429651,Bronx
33422954,Bronx
33412533,Bronx
33388360,Bronx
33366167,Bronx
33363084,Bronx
33337280,Bronx
33315073,Bronx
33303647,Bronx
33218637,Bronx
33217402,Bronx
33214803,Bronx
33195147,Bronx
33170496,Bronx
