Car Year,Car Brand,Car Model,Car Engine,Car Transmission,Reserve Price,Winning Price,Bidded Date
1998,Brand-18,Model-72,1.6,Auto,3300,5800,1/6/2020
2004,Brand-18,Model-72,1.7,Auto,14000,14500,1/6/2020
2004,Brand-19,Model-97,1.3,Auto,3300,3800,1/6/2020
2004,Brand-47,Model-336,2.4,Auto,33800,36800,1/6/2020
2005,Brand-18,Model-73,1.5,Auto,8000,8700,1/6/2020
2005,Brand-18,Model-74,1.5,Auto,16200,18200,1/6/2020
2005,Brand-47,Model-336,2.4,Auto,33000,40400,1/6/2020
2005,Brand-47,Model-337,1.3,Auto,8900,11500,1/6/2020
2006,Brand-30,Model-182,4.6,Auto,10000,18400,1/6/2020
2006,Brand-40,Model-262,2,Auto,10000,13200,1/6/2020
2006,Brand-47,Model-337,1.3,Auto,10300,10600,1/6/2020
2008,Brand-18,Model-75,2.4,Auto,23000,25500,1/6/2020
2008,Brand-39,Model-252,2,Auto,3800,6300,1/6/2020
2008,Brand-40,Model-263,1.8,Auto,13000,16500,1/6/2020
2008,Brand-40,Model-263,1.8,Auto,13800,15800,1/6/2020
2008,Brand-40,Model-262,2,Auto,14000,14300,1/6/2020
2008,Brand-47,Model-337,1.5,Auto,14000,16400,1/6/2020
2009,Brand-18,Model-75,2.4,Auto,28000,28300,1/6/2020
2009,Brand-18,Model-72,1.8,Auto,28000,30500,1/6/2020
2009,Brand-22,Model-129,2.5,Manual,14300,17300,1/6/2020
2009,Brand-27,Model-159,2,Auto,9000,8300,1/6/2020
2009,Brand-40,Model-263,1.6,Auto,16300,16600,1/6/2020
2009,Brand-47,Model-338,2,Auto,32300,33800,1/6/2020
2009,Brand-47,Model-339,2.4,Auto,34100,54200,1/6/2020
2009,Brand-47,Model-340,1.5,Auto,13000,18300,1/6/2020
2010,Brand-18,Model-75,2,Auto,22000,23800,1/6/2020
2010,Brand-18,Model-73,1.5,Auto,20000,21600,1/6/2020
2010,Brand-36,Model-234,2.5,Auto,30000,31300,1/6/2020
2010,Brand-40,Model-263,1.6,Auto,13300,17700,1/6/2020
2010,Brand-40,Model-263,1.6,Auto,20000,22000,1/6/2020
2010,Brand-40,Model-264,1.5,Auto,31900,32000,1/6/2020
2010,Brand-40,Model-265,1.5,Manual,10000,16000,1/6/2020
2010,Brand-47,Model-338,2,Auto,38000,38300,1/6/2020
2010,Brand-47,Model-341,1.8,Auto,23000,27400,1/6/2020
2010,Brand-47,Model-342,2.5,Auto,36300,36600,1/6/2020
2011,Brand-18,Model-76,1.3,Auto,13000,16500,1/6/2020
2011,Brand-34,Model-204,2,Auto,23300,23600,1/6/2020
2011,Brand-36,Model-234,2.5,Auto,23700,25300,1/6/2020
2011,Brand-40,Model-266,2.5,Auto,30000,36800,1/6/2020
2011,Brand-41,Model-295,1.6,Auto,3400,5500,1/6/2020
2011,Brand-47,Model-338,2,Auto,28300,40300,1/6/2020
2011,Brand-48,Model-388,1.4,Auto,26900,27000,1/6/2020
2011,Brand-48,Model-388,2,Auto,43300,45800,1/6/2020
2012,Brand-4,Model-4,2,Auto,7000,7500,1/6/2020
2012,Brand-18,Model-73,1.5,Auto,27000,28800,1/6/2020
2012,Brand-18,Model-77,1.5,Auto,33100,36000,1/6/2020
2012,Brand-27,Model-160,2,Auto,36100,38000,1/6/2020
2012,Brand-48,Model-389,1.2,Auto,40000,43300,1/6/2020
2013,Brand-40,Model-267,1.5,Auto,21200,21300,1/6/2020
2013,Brand-40,Model-266,2.5,Auto,33800,37300,1/6/2020
2013,Brand-47,Model-343,1.5,Auto,17100,17300,1/6/2020
2013,Brand-47,Model-340,1.5,Auto,34000,36000,1/6/2020
2013,Brand-48,Model-389,1.2,Auto,47400,55400,1/6/2020
2013,Brand-48,Model-390,2,Auto,32300,52400,1/6/2020
2013,Brand-49,Model-404,2,Auto,43100,47300,1/6/2020
2014,Brand-18,Model-73,1.5,Auto,42000,43200,1/6/2020
2014,Brand-27,Model-161,1.6,Auto,29800,35800,1/6/2020
2014,Brand-40,Model-267,1.5,Auto,22000,22300,1/6/2020
2014,Brand-40,Model-268,2,Auto,29800,33000,1/6/2020
