Dealer ID,Registration Date,Bidding Date,No. of Cars Bids,No. of Cars Won
11810,2016-03-17,2/6/2020,19,0
11810,2016-03-17,3/6/2020,9,1
11810,2016-03-17,4/6/2020,5,0
11810,2016-03-17,5/6/2020,15,1
11810,2016-03-17,6/6/2020,8,0
11810,2016-03-17,7/6/2020,4,0
11810,2016-03-17,8/6/2020,13,0
11810,2016-03-17,9/6/2020,10,0
11810,2016-03-17,10/6/2020,6,0
11810,2016-03-17,11/6/2020,6,0
11810,2016-03-17,12/6/2020,8,0
11810,2016-03-17,13/6/2020,8,0
11810,2016-03-17,15/6/2020,5,0
11810,2016-03-17,16/6/2020,6,0
11810,2016-03-17,17/6/2020,13,0
11810,2016-03-17,18/6/2020,14,0
11810,2016-03-17,19/6/2020,21,0
11810,2016-03-17,20/6/2020,16,0
11810,2016-03-17,21/6/2020,5,0
11810,2016-03-17,22/6/2020,17,0
11810,2016-03-17,23/6/2020,20,0
11810,2016-03-17,24/6/2020,9,0
11810,2016-03-17,25/6/2020,17,0
11810,2016-03-17,26/6/2020,21,0
11810,2016-03-17,27/6/2020,20,0
11810,2016-03-17,28/6/2020,14,0
11810,2016-03-17,29/6/2020,11,0
11810,2016-03-17,30/6/2020,26,1
11810,2016-03-17,1/7/2020,16,1
11810,2016-03-17,2/7/2020,19,1
11810,2016-03-17,3/7/2020,12,0
11810,2016-03-17,4/7/2020,14,0
11810,2016-03-17,5/7/2020,7,0
11810,2016-03-17,6/7/2020,5,0
11810,2016-03-17,7/7/2020,17,0
11810,2016-03-17,8/7/2020,22,1
11810,2016-03-17,9/7/2020,16,0
11810,2016-03-17,10/7/2020,22,1
11810,2016-03-17,11/7/2020,29,0
11810,2016-03-17,12/7/2020,26,1
11810,2016-03-17,13/7/2020,18,2
11810,2016-03-17,14/7/2020,13,2
11810,2016-03-17,15/7/2020,10,1
11810,2016-03-17,16/7/2020,21,0
11810,2016-03-17,17/7/2020,23,3
11810,2016-03-17,18/7/2020,22,0
11810,2016-03-17,19/7/2020,3,2
11810,2016-03-17,20/7/2020,30,0
11810,2016-03-17,21/7/2020,27,0
11810,2016-03-17,22/7/2020,15,0
11810,2016-03-17,23/7/2020,10,0
11810,2016-03-17,24/7/2020,18,0
11810,2016-03-17,25/7/2020,23,1
11810,2016-03-17,26/7/2020,21,0
11810,2016-03-17,27/7/2020,21,0
11810,2016-03-17,28/7/2020,19,0
11810,2016-03-17,29/7/2020,28,2
11810,2016-03-17,30/7/2020,39,0
11810,2016-03-17,1/8/2020,18,0
11810,2016-03-17,2/8/2020,14,0
11810,2016-03-17,3/8/2020,12,1
11810,2016-03-17,4/8/2020,25,0
11810,2016-03-17,5/8/2020,22,1
11810,2016-03-17,6/8/2020,18,2
11810,2016-03-17,7/8/2020,29,1
11810,2016-03-17,8/8/2020,21,0
11810,2016-03-17,9/8/2020,29,1
11810,2016-03-17,10/8/2020,39,1
11810,2016-03-17,11/8/2020,42,0
11810,2016-03-17,12/8/2020,30,0
11810,2016-03-17,13/8/2020,18,0
11810,2016-03-17,14/8/2020,21,0
11810,2016-03-17,15/8/2020,14,0
11810,2016-03-17,16/8/2020,21,0
11810,2016-03-17,17/8/2020,29,0
11810,2016-03-17,18/8/2020,30,0
11810,2016-03-17,19/8/2020,26,0
11810,2016-03-17,20/8/2020,17,0
11810,2016-03-17,21/8/2020,39,0
11810,2016-03-17,22/8/2020,32,0
11810,2016-03-17,23/8/2020,25,1
11810,2016-03-17,24/8/2020,23,0
11810,2016-03-17,25/8/2020,25,0
11810,2016-03-17,26/8/2020,10,0
11810,2016-03-17,27/8/2020,7,1
11810,2016-03-17,28/8/2020,34,1
11810,2016-03-17,29/8/2020,20,0
11810,2016-03-17,30/8/2020,17,1
11810,2016-03-17,31/8/2020,6,0
11810,2016-03-17,1/9/2020,15,0
11810,2016-03-17,2/9/2020,21,0
11810,2016-03-17,3/9/2020,23,0
11810,2016-03-17,4/9/2020,30,1
11810,2016-03-17,5/9/2020,30,1
11810,2016-03-17,6/9/2020,13,0
11810,2016-03-17,7/9/2020,22,0
11810,2016-03-17,8/9/2020,14,0
11810,2016-03-17,9/9/2020,30,1
11810,2016-03-17,10/9/2020,37,0
11810,2016-03-17,11/9/2020,32,0
11810,2016-03-17,12/9/2020,25,0
11810,2016-03-17,13/9/2020,10,0
