,show_id,title,country,release_year,is_adult,duration,description
0,s1,Dick Johnson Is Dead,United States,2020,PG-13,90,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable."
1,s7,My Little Pony: A New Generation,Not Available,2021,PG,91,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it."
2,s8,Sankofa,United States,1993,TV-MA,125,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past."
3,s10,The Starling,United States,2021,PG-13,104,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.
4,s13,Je Suis Karl,Germany,2021,TV-MA,127,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them."
5,s14,Confessions of an Invisible Girl,Not Available,2021,TV-PG,91,"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas."
6,s17,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Not Available,2020,TV-MA,67,"Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents."
7,s19,Intrusion,Not Available,2021,TV-14,94,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning."
8,s23,Avvai Shanmughi,Not Available,1996,TV-PG,161,"Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her."
9,s24,Go! Go! Cory Carson: Chrissy Takes the Wheel,Not Available,2021,TV-Y,61,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!"
10,s25,Jeans,India,1998,TV-14,166,"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing."
11,s27,Minsara Kanavu,Not Available,1997,TV-PG,147,A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.
12,s28,Grown Ups,United States,2010,PG-13,103,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid."
13,s29,Dark Skies,United States,2013,PG-13,97,"A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat."
14,s30,Paranoia,United States,2013,PG-13,106,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor."
15,s31,Ankahi Kahaniya,Not Available,2021,TV-14,111,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing."
16,s36,The Father Who Moves Mountains,Not Available,2021,TV-MA,110,"When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him."
17,s37,The Stronghold,Not Available,2021,TV-MA,105,"Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask."
18,s39,Birth of the Dragon,China,2017,PG-13,96,"A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events."
19,s42,Jaws,United States,1975,PG,124,"When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast."
20,s43,Jaws 2,United States,1978,PG,116,"Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white."
21,s44,Jaws 3,United States,1983,PG,98,"After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood."
22,s45,Jaws: The Revenge,United States,1987,PG-13,91,"After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there."
23,s46,My Heroes Were Cowboys,Not Available,2021,PG,23,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen."
24,s47,Safe House,South Africa,2012,R,115,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.
25,s49,Training Day,United States,2001,R,122,A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.
26,s52,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Japan,2002,TV-14,99,"With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy."
27,s53,InuYasha the Movie 3: Swords of an Honorable Ruler,Japan,2003,TV-14,99,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.
28,s54,InuYasha the Movie 4: Fire on the Mystic Island,Japan,2004,TV-PG,88,"Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo."
29,s55,InuYasha the Movie: Affections Touching Across Time,Japan,2001,TV-PG,100,"A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy."
30,s57,Naruto Shippuden the Movie: Blood Prison,Japan,2011,TV-14,102,"Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed."
31,s58,Naruto Shippûden the Movie: Bonds,Japan,2008,TV-PG,93,"When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet."
32,s59,Naruto Shippûden the Movie: The Will of Fire,Japan,2009,TV-PG,96,"When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land."
33,s60,Naruto Shippuden: The Movie,Japan,2007,TV-PG,95,"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die."
34,s61,Naruto Shippuden: The Movie: The Lost Tower,Japan,2010,TV-14,85,"When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil."
35,s62,Naruto the Movie 2: Legend of the Stone of Gelel,Japan,2005,TV-PG,97,"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin."
36,s63,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Japan,2006,TV-PG,95,"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom."
37,s64,Naruto the Movie: Ninja Clash in the Land of Snow,Japan,2004,TV-PG,83,"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess."
38,s65,Nightbooks,Not Available,2021,TV-PG,103,Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.
39,s69,Schumacher,Not Available,2021,TV-14,113,"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher."
40,s72,A StoryBots Space Adventure,Not Available,2021,TV-Y,13,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.
41,s74,King of Boys,Nigeria,2018,TV-MA,182,"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything."
42,s76,You vs. Wild: Out Cold,Not Available,2021,TV-G,106,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure."
43,s78,Little Singham - Black Shadow,Not Available,2021,TV-Y7,48,Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?
44,s79,Tughlaq Durbar,Not Available,2020,TV-14,145,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.
45,s80,Tughlaq Durbar (Telugu),Not Available,2021,TV-14,145,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.
46,s81,Firedrake the Silver Dragon,Not Available,2021,TV-Y7,93,"When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free."
47,s82,Kate,United States,2021,R,106,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge."
48,s85,Omo Ghetto: the Saga,Nigeria,2020,TV-MA,147,"Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them."
49,s87,Prey,Not Available,2021,TV-MA,87,A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.
50,s89,Blood Brothers: Malcolm X & Muhammad Ali,Not Available,2021,PG-13,96,"From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals."
51,s91,Paradise Hills,Spain,2019,TV-MA,95,"Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. That’s bad enough, but its real purpose is even worse."
52,s92,The Women and the Murderer,France,2021,TV-14,92,This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother.
53,s94,JJ+E,Not Available,2021,TV-MA,91,"Elisabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?"
54,s95,Show Dogs,United Kingdom,2018,PG,90,A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale.
55,s97,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,United States,2018,TV-MA,97,"Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant."
56,s102,Untold: Breaking Point,United States,2021,TV-MA,80,"Under pressure to continue a winning tradition in American tennis, Mardy Fish faced mental health challenges that changed his life on and off the court."
57,s104,Shadow Parties,Not Available,2020,TV-MA,117,A family faces destruction in a long-running conflict between communities that pits relatives against each other amid attacks and reprisals.
58,s106,Angamaly Diaries,India,2017,TV-14,128,"After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law."
59,s108,A Champion Heart,United States,2018,G,90,"When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected."
60,s113,Worth,Not Available,2021,PG-13,119,"In the wake of the Sept. 11 attacks, a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost. Based on real events."
61,s114,Afterlife of the Party,Not Available,2021,TV-PG,110,Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings.
62,s115,Anjaam,India,1994,TV-14,143,"A wealthy industrialist’s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge."
63,s116,Bright Star,United Kingdom,2009,PG,119,This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse.
64,s117,Dhanak,India,2015,TV-PG,114,A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.
65,s118,Final Account,United Kingdom,2021,PG-13,94,This documentary stitches together never-before-seen interviews with the last living generation of people who participated in Hitler's Third Reich.
66,s119,Gurgaon,India,2017,TV-14,106,"When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own."
67,s120,Here and There,Not Available,2020,TV-MA,99,"After meeting through a heated exchange on social media, two people with different backgrounds begin an online romance in the midst of a pandemic."
68,s123,In the Cut,United Kingdom,2003,R,118,"After embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime."
69,s127,Shikara,India,2020,TV-14,115,A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.
70,s128,A Cinderella Story,United States,2004,PG,95,Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?
71,s129,Agatha Christie's Crooked House,Not Available,2017,PG-13,115,"When a detective investigates the death of his ex-lover's grandfather, he uncovers secrets about the tycoon's manipulative family."
72,s130,An Unfinished Life,Germany,2005,PG-13,108,"A grieving widow and her daughter move in with her estranged father-in-law in Wyoming, where time allows them to heal and forgive."
73,s131,Barbie Big City Big Dreams,Not Available,2021,TV-Y,63,"At a summer performing arts program in New York City, Barbie from Malibu meets Barbie from Brooklyn, and the two become fast friends."
74,s132,Blade Runner: The Final Cut,United States,1982,R,117,"In a smog-choked dystopian Los Angeles, blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped ""replicants."""
75,s134,Chappie,South Africa,2015,R,121,"In a futuristic society where an indestructible robot police force keeps crime at bay, a lone droid evolves to the next level of artificial intelligence."
76,s135,Clear and Present Danger,United States,1994,PG-13,142,"When the president's friend is murdered, CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel."
77,s136,Cliffhanger,United States,1993,R,113,"Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers."
78,s137,Cold Mountain,United States,2003,R,154,"This drama follows a wounded Civil War soldier making the long journey home, while his faraway love fights for survival on her deceased father's farm."
79,s138,Crocodile Dundee in Los Angeles,Australia,2001,PG,95,"When Mick ""Crocodile"" Dundee and his family land in Los Angeles, they soon learn some lessons about American life in this comedy sequel."
80,s139,Dear John,United States,2010,PG-13,108,"While on summer leave, a U.S. soldier falls for a college student. But when he's forced to reenlist, their handwritten letters hold the lovers together."
81,s140,Do the Right Thing,United States,1989,R,120,"On a sweltering day in Brooklyn, simmering racial tensions between residents rise to the surface and ignite rage, violence and tragedy."
82,s141,"El patrón, radiografía de un crimen",Argentina,2014,TV-MA,100,A lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in Buenos Aires led to tragedy. Based on a true case.
83,s142,Extraction,United States,2015,R,82,"When a retired CIA agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot."
84,s143,Freedom Writers,Germany,2007,PG-13,124,"While her at-risk students are reading classics such as ""The Diary of Anne Frank,"" a teacher asks them to keep journals about their troubled lives."
85,s144,Green Lantern,United States,2011,PG-13,114,Test pilot Hal Jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat.
86,s145,House Party,United States,1990,R,104,"Grounded by his strict father, Kid risks life and limb to go to his best friend Play's big bash but experiences one obstacle after another."
87,s146,House Party 2,United States,1991,R,94,"Kid goes off to college with scholarship money but when Play loses Kid's tuition funds to a shady music promoter, they devise a wild plan to raise cash."
88,s147,House Party 3,United States,1994,R,94,"After Kid gets engaged, Play plans to throw the biggest bachelor party ever. But every celebration for these two always comes with complications."
89,s150,I Got the Hook Up,United States,1998,R,93,"After getting their hands on a misdirected shipment of cell phones, two hustlers try to cash in by hawking the merchandise from the back of their van."
90,s151,In Too Deep,United States,1999,R,97,"Rookie cop Jeffrey Cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery, intimidation and murder."
91,s152,Initial D,China,2005,TV-14,109,"By day, an 18-year-old delivers tofu for his father, a retired race car driver; but by night, it's the teen's turn to take the wheel."
92,s153,Janoskians: Untold and Untrue,United States,2016,TV-MA,88,Follow the story of three Australian brothers and their two friends who became an international sensation by posting pranks and gags on YouTube.
93,s156,Labyrinth,United Kingdom,1986,PG,101,"In Jim Henson's fantasy, teen Sarah embarks on a life-altering quest to rescue her little brother from the clutches of a treacherous goblin."
94,s157,Letters to Juliet,United States,2010,PG,105,"By responding to a letter addressed to Shakespeare's tragic heroine Juliet Capulet, an American woman in Verona, Italy, is led in search of romance."
95,s158,Level 16,Canada,2018,TV-14,102,"In a bleak academy that teaches girls the virtues of passivity, two students uncover the ghastly purpose behind their training and resolve to escape."
96,s159,Love Don't Cost a Thing,United States,2003,PG-13,101,A nerdy teen tries to make himself cool by association when he convinces a popular cheerleader to pose as his girlfriend.
97,s160,Love in a Puff,Hong Kong,2010,TV-MA,103,"When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating unlikely connections."
98,s162,Mars Attacks!,United States,1996,PG-13,106,"As flying saucers head for Earth, the president of the United States prepares to welcome alien visitors but soon learns they're not coming in peace."
99,s163,Marshall,United States,2017,PG-13,118,"This biopic of Thurgood Marshall, the first Black U.S. Supreme Court justice, centers on his pivotal work in a sensational case as an NAACP lawyer."
