shows_id,actors_id
s1,115
s1,101
s1,392
s1,759
s1,575
s1,705
s1,265
s1,410
s1,445
s1,536
s1,219
s1,202
s1,453
s1,214
s1,22
s1,592
s1,265
s1,266
s1,430
s1,358
s2,569
s2,600
s2,403
s2,316
s2,35
s2,127
s2,363
s2,677
s2,425
s2,363
s2,711
s2,127
s2,514
s2,778
s2,762
s2,497
s2,430
s2,789
s2,746
s2,230
s3,611
s3,785
s3,200
s3,711
s3,2
s3,185
s3,135
s3,231
s3,134
s3,433
s3,60
s3,538
s3,801
s3,625
s3,490
s3,221
s3,718
s3,88
s3,341
s3,160
s4,640
s4,459
s4,571
s4,614
s4,623
s4,388
s4,587
s4,301
s4,400
s4,570
s4,166
s4,769
s4,469
s4,222
s4,593
s4,236
s4,575
s4,29
s4,546
s4,601
s5,4
s5,266
s5,402
s5,601
s5,535
s5,658
s5,771
s5,349
s5,212
s5,189
s5,596
s5,765
s5,431
s5,743
s5,758
s5,182
s5,234
s5,320
s5,290
s5,453
s6,173
s6,261
s6,541
s6,612
s6,350
s6,241
s6,192
s6,284
s6,68
s6,526
s6,62
s6,64
s6,586
s6,545
s6,685
s6,372
s6,334
s6,579
s6,645
s6,145
s7,45
s7,517
s7,560
s7,484
s7,37
s7,702
s7,752
s7,413
s7,222
s7,500
s7,327
s7,598
s7,618
s7,789
s7,388
s7,83
s7,53
s7,756
s7,488
s7,275
s8,141
s8,97
s8,479
s8,670
s8,31
s8,149
s8,535
s8,382
s8,189
s8,220
s8,477
s8,778
s8,464
s8,96
s8,734
s8,799
s8,85
s8,60
s8,312
s8,472
s9,370
s9,187
s9,535
s9,456
s9,641
s9,328
s9,706
s9,331
s9,322
s9,408
s9,760
s9,634
s9,425
s9,226
s9,447
s9,504
s9,597
s9,307
s9,686
s9,611
s10,139
s10,40
s10,655
s10,397
s10,621
s10,293
s10,676
s10,258
s10,397
s10,99
s10,210
s10,485
s10,433
s10,1
s10,105
s10,708
s10,380
s10,227
s10,358
s10,520
s11,396
s11,743
s11,700
s11,400
s11,407
s11,548
s11,327
s11,746
s11,698
s11,341
s11,70
s11,635
s11,784
s11,237
s11,77
s11,249
s11,269
s11,703
s11,106
s11,22
s12,278
s12,27
s12,163
s12,702
s12,532
s12,750
s12,96
s12,547
s12,483
s12,719
s12,408
s12,717
s12,633
s12,737
s12,532
s12,531
s12,634
s12,338
s12,119
