,show_id,title,country,release_year,is_adult,num_seasons,description,num_episodes
0,s2,Blood & Water,South Africa,2021,TV-MA,2,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.",19
1,s3,Ganglands,Not Available,2021,TV-MA,1,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",13
2,s4,Jailbirds New Orleans,Not Available,2021,TV-MA,1,"Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",20
3,s5,Kota Factory,India,2021,TV-MA,2,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.",12
4,s6,Midnight Mass,Not Available,2021,TV-MA,1,"The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",21
5,s9,The Great British Baking Show,United Kingdom,2021,TV-14,9,"A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.",15
6,s11,"Vendetta: Truth, Lies and The Mafia",Not Available,2021,TV-MA,1,"Sicily boasts a bold ""Anti-Mafia"" coalition. But what happens when those trying to bring down organized crime are accused of being criminals themselves?",15
7,s12,Bangkok Breaking,Not Available,2021,TV-MA,1,"Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.",20
8,s15,Crime Stories: India Detectives,Not Available,2021,TV-MA,1,Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,19
9,s16,Dear White People,United States,2021,TV-MA,4,"Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks.",22
10,s18,Falsa identidad,Mexico,2020,TV-MA,2,Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.,14
11,s20,Jaguar,Not Available,2021,TV-MA,1,"In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII.",21
12,s21,Monsters Inside: The 24 Faces of Billy Milligan,Not Available,2021,TV-14,1,"In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",19
13,s22,Resurrection: Ertugrul,Turkey,2018,TV-14,5,"When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.",12
14,s26,Love on the Spectrum,Australia,2021,TV-14,2,"Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated.",20
15,s32,Chicago Party Aunt,Not Available,2021,TV-MA,1,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.,13
16,s33,Sex Education,United Kingdom,2020,TV-MA,3,"Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.",16
17,s34,Squid Game,Not Available,2021,TV-MA,1,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.",13
18,s35,Tayo and Little Wizards,Not Available,2020,TV-Y7,1,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.,21
19,s38,Angry Birds,Finland,2018,TV-Y7,1,"Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.",18
20,s40,Chhota Bheem,India,2021,TV-Y7,3,"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil.",20
21,s41,He-Man and the Masters of the Universe,United States,2021,TV-Y7,1,Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.,17
22,s48,The Smart Money Woman,Not Available,2020,TV-MA,1,"Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel.",20
23,s50,Castle and Castle,Nigeria,2021,TV-MA,2,"A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.",14
24,s51,Dharmakshetra,India,2014,TV-PG,1,"After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains.",17
25,s56,Nailed It,United States,2021,TV-PG,6,"Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess.",21
26,s66,Numberblocks,United Kingdom,2021,TV-Y,6,"In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together.",20
27,s67,Raja Rasoi Aur Anya Kahaniyan,India,2014,TV-G,1,"Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat.",15
28,s68,Saved by the Bell,United States,1994,TV-PG,9,"From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series.",18
29,s70,Stories by Rabindranath Tagore,India,2015,TV-PG,1,The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.,16
30,s71,Too Hot To Handle: Latino,Not Available,2021,TV-MA,1,"On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000.",21
31,s73,Jack Whitehall: Travels with My Father,United Kingdom,2021,TV-MA,5,"Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond.",21
32,s75,The World's Most Amazing Vacation Rentals,Not Available,2021,TV-PG,2,"With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series.",16
33,s77,Yowamushi Pedal,Japan,2013,TV-14,1,"A timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent.",15
34,s83,Lucifer,United States,2021,TV-14,6,"Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective.",19
35,s84,Metal Shop Masters,Not Available,2021,TV-MA,1,"On this competition show, a group of metal artists torch, cut and weld epic, badass creations from hardened steel. Only one will win a $50,000 prize.",17
