review_id,up_vote
1,1016
2,1762
3,4484
4,1972
5,5884
6,3573
7,855
8,3108
9,4420
10,2828
11,1721
12,5070
13,2591
14,1504
15,6257
16,2059
17,952
18,4437
19,2536
20,3634
21,980
22,7621
23,2976
24,3090
25,273
26,8653
27,8799
28,7264
29,5121
30,3894
31,1629
32,1649
33,868
34,5233
35,2619
36,6541
37,3947
38,7366
39,3236
40,3610
41,6643
42,8491
43,2680
44,228
45,4712
46,6349
47,7608
48,861
49,880
50,8051
51,8146
52,4630
53,5194
54,4959
55,6273
56,3425
57,5863
58,617
59,4579
60,7140
61,2139
62,7211
63,235
64,1716
65,8075
66,5164
67,967
68,1307
69,7297
70,8747
71,1114
72,835
73,8350
74,103
75,4967
76,6844
77,99
78,8126
79,2019
80,1146
81,5958
82,916
83,753
84,606
85,5417
86,7998
87,199
88,3066
89,8806
90,7248
91,8043
92,6290
93,8251
94,591
95,2206
96,4899
97,571
98,4061
99,8274
100,2133
101,1098
102,8202
103,6256
104,1543
105,4255
106,2447
107,3877
108,7222
109,8007
110,5721
111,2522
112,6683
113,2827
114,3061
115,5187
116,1159
117,4269
118,4235
119,8517
120,4411
121,6100
122,4529
123,8894
124,918
125,6178
126,4629
127,7090
128,1543
129,4302
130,1182
131,2150
132,6776
133,8987
134,7391
135,7948
136,4616
137,5231
138,4689
139,390
140,314
141,4506
142,8058
143,4052
144,3489
145,4109
146,3812
147,7648
148,8574
149,8244
150,6575
151,5052
152,7478
153,7893
154,7204
155,7914
156,7030
157,916
158,8813
159,4623
160,7775
161,8786
162,4831
163,5289
164,7765
165,1638
166,8535
167,2651
168,6871
169,6853
170,1192
171,5966
172,5537
173,144
174,5345
175,6003
176,138
177,8337
178,1007
179,4266
180,7189
181,2336
182,3915
183,4701
184,6521
185,6881
186,2113
187,5515
188,5242
189,6160
190,6842
191,5766
192,5285
193,834
194,6082
195,5443
196,933
197,1953
198,725
199,933
200,3387
201,1698
202,508
203,4784
204,3331
205,4890
206,2090
207,5027
208,5850
209,5773
210,3864
211,6389
212,611
213,500
214,4954
215,2835
216,6077
217,7684
218,3529
219,8214
220,8783
221,4794
222,5888
223,3503
224,5574
225,2540
226,6158
227,3861
228,8697
229,5181
230,7970
231,4797
232,6281
233,2179
234,5890
235,1679
236,1069
237,3971
238,1212
239,4453
240,6353
241,6779
242,7518
243,5316
244,6204
245,7067
246,1505
247,1572
248,501
249,5572
250,2097
251,7702
252,39
253,7146
254,4405
255,7978
256,7488
257,1852
258,7358
259,1874
260,4164
261,4570
262,255
263,2654
264,7121
265,8970
266,3977
267,5001
268,3211
269,4498
270,7956
271,6972
272,3564
273,6525
274,1021
275,5922
276,8442
277,1664
278,3019
279,6280
280,2087
281,3682
282,3905
283,5063
284,6730
285,4589
286,206
287,5213
288,5654
289,4555
290,520
291,5242
292,7028
293,414
294,5532
295,8249
296,5598
297,7927
298,3619
299,580
300,3504
301,6409
302,8490
303,6112
304,458
305,875
306,773
307,2655
308,5680
309,4817
310,7788
311,7639
312,2003
313,5150
314,2125
315,7765
316,2542
317,8767
318,7890
319,2458
320,3231
321,4549
322,7633
323,3839
324,483
325,2539
326,6523
327,285
328,5889
329,100
330,5996
331,2770
332,979
333,8787
334,1888
335,3477
336,4334
337,7768
338,5322
339,8652
340,8228
341,6659
342,8640
343,2143
344,8979
345,8871
346,2562
347,7826
348,947
349,4209
350,431
351,5449
352,1262
353,5571
354,7178
355,541
356,4844
357,8794
358,5656
359,5093
360,1249
361,7381
362,1093
363,4303
364,3931
365,3799
366,108
367,2944
368,8759
369,8287
370,6259
371,322
372,1826
373,5241
374,8998
375,2755
376,517
377,8999
378,5271
379,7057
380,7437
381,3059
382,137
383,3760
384,1204
385,2433
386,5471
387,841
388,8803
389,3973
390,1879
391,7590
392,1499
393,6365
